location,latitude,longitude,count,title
"Aberdeen, MD",39.5120347,-76.1643289,8.0,Program Analyst
"Houston, TX",29.7589382,-95.3676974,444.0,"Business Analyst, Senior"
"New York, NY",40.7127281,-74.0060152,818.0,Director of Engineering
"Boston, MA",42.3554334,-71.060511,324.0,Manager of Solutions and Consulting
"Springfield, VA",38.7767435,-77.1807019310668,8.0,Enterprise Watch (overnight)
"Waltham, MA",42.3756401,-71.2358004,38.0,Senior Mechanical Product Design Engineer
"Franklin, TN",35.1680139,-86.1084401,17.0,"Administrative Assistant, Information Systems"
"Midland, TX",31.83688,-102.0103767,28.0,Travel Registered Nurse Ortho - 680046
"Orlando, FL",28.5421109,-81.3790304,171.0,Systems Engineer
"Memphis, TN",35.1460249,-90.0517638,57.0,Travel Registered Nurse ER Emergency Room - 680195
"Cambridge, MA",42.3656347,-71.1040018,65.0,"Research Associate, Delivery and Transformation"
"San Francisco, CA",37.7792588,-122.4193286,289.0,Channel Program Manager (Remote)
"Natick, MA",42.2836393,-71.346996,9.0,Senior Network Planning Analyst
"West Virginia, United States",38.4758406,-80.8408415,5.0,HUMINT Instructor
"Duluth, GA",34.0028569,-84.1441046,27.0,Office Manager
"West Des Moines, IA",41.5644476,-93.7594059,13.0,Travel Registered Nurse Telemetry - 680063
"Springfield, OH",39.9234046,-83.810138,5.0,Travel Registered Nurse Stepdown PCU - 678182
"Aliso Viejo, CA",33.5761376,-117.7258122,17.0,Production Coordinator
"Washington, United States",38.8950368,-77.0365427,28.0,Delivery Driver - Airborne
"Las Vegas, NV",36.1672559,-115.148516,168.0,Safety Specialist I
"Stamford, CT",41.0534302,-73.5387341,39.0,Technical Support Specialist (Visier)
"Charlotte, NC",35.2272086,-80.8430827,247.0,Technology Solutions Designer
"Livonia, MI",42.36837,-83.3527097,17.0,•	State Farm Agent - Looking for Entrepreneurs
"Maryland, United States",39.5162401,-76.9382069,22.0,Travel Registered Nurse ICU - 680187
"Evansville, IN",37.970495,-87.5715641,17.0,Process Engineer (33529)
"Stamford, CT",41.0534302,-73.5387341,39.0, Fund Finance Analyst (Hedge Fund)
"New York, NY",40.7127281,-74.0060152,818.0,UI/UX Developer (Frontend Prototyping Expert)
"Atlanta, GA",33.7489924,-84.3902644,382.0,Craft Instructor
"Chaska, MN",44.7894072,-93.6021791,10.0,Surgical Technician OI
"Kansas City, MO",39.100105,-94.5781416,84.0,Claims Analyst 1 - Hybrid Work Model
"Oklahoma City, OK",35.4729886,-97.5170536,78.0,"Field Service Technician - Shawnee, OK"
"Gardena, CA",33.8815702,-118.2918113,7.0,Outside Sales Representative
"Milwaukee, WI",43.0386475,-87.9090751,90.0,Cloud/Infra Engineering Lead
"College Station, TX",30.6183939,-96.3455991,14.0,"Comparative Medicine Program Research Animal Technicians I, II, III"
"Souderton, PA",40.3117707,-75.3251759,7.0,Facilities Project Engineer
"Dallas, TX",32.7762719,-96.7968559,383.0,Equity Plan Administration Specialist
"Overland Park, KS",38.9742502,-94.6851702,45.0,Assistant Preschool Teacher
"Louisville, KY",38.2542376,-85.759407,87.0,Travel Registered Nurse Burn ICU - 680278
"Miami, FL",25.7741728,-80.19362,231.0,Director of Hospitality
"Irvine, CA",33.6856969,-117.825981,119.0,Loan Servicing Specialist
"Columbia, SC",34.0003117,-81.0331309,50.0,DAM Architect
"Denver, CO",39.7392364,-104.984862,247.0,Senior Litigation Paralegal
"Brooklyn, NY",40.6526006,-73.9497211,76.0,Alternative Investments Associate
"Seattle, WA",47.6038321,-122.330062,257.0,Veterinary Technician
"San Francisco, CA",37.7792588,-122.4193286,289.0,Strategy & Operations Lead
"Aurora, CO",39.7405111,-104.830994,20.0,Bilingual Administrative Assistant - JOR
"Atlanta, GA",33.7489924,-84.3902644,382.0,Agile Product Management
"Las Vegas, NV",36.1672559,-115.148516,168.0,Warehouse Receiving Supervisor
"Tampa, FL",27.9477595,-82.458444,146.0,Contract Manager
"Santa Ana, CA",33.7494951,-117.873221,27.0,Construction Project Estimator
"Los Angeles, CA",34.0536909,-118.242766,366.0,"Media & Entertainment Manager, Director, & Senior Director – Tech and Data Design"
"Sioux City, IA",42.4966815,-96.4058782,10.0,Travel Registered Nurse Oncology - 680054
"Houston, TX",29.7589382,-95.3676974,444.0,"Leasing Consultant - Houston, TX"
"Louisville, KY",38.2542376,-85.759407,87.0,Travel Registered Nurse Neuro - 680263
"Amarillo, TX",35.20729,-101.8371192,13.0,Travel Registered Nurse OR Operating Room - 680317
"Port Washington, NY",40.8257072,-73.6958069,5.0,Director of Accounting
"Columbus, OH",39.9622601,-83.0007065,149.0,Bilingual Data Coordinator - JOR
"Los Angeles, CA",34.0536909,-118.242766,366.0,Brand Ambassador (US Contract)
"Lebanon, PA",40.375713,-76.4626118,10.0,Travel Registered Nurse Med/Surg - 680188
"Tulsa, OK",36.1563122,-95.9927516,53.0,Assembler
"Overland Park, KS",38.9742502,-94.6851702,45.0,"Senior Tutor, Web Development, Academic Achievement Center"
"Houston, TX",29.7589382,-95.3676974,444.0,Leasing Consultant - Diamond Hill at Westheimer (Bilingual Preferred)
"Lenexa, KS",38.9697458,-94.7845837,10.0,Temp Payroll Administrator
"Bangor, ME",44.8016255,-68.7713289,11.0,Travel Registered Nurse Telemetry - 680051
"South San Francisco, CA",37.6535403,-122.4168664,21.0,Principal IT Systems Engineer
Greater Indianapolis,39.8017245,-86.18798358435414,15.0,Financial Institutions Tax Manager (Banking)
"Pittsburgh, PA",40.4416941,-79.9900861,115.0,"Front Desk Agent, Hyatt House Southside $14.50-$15.00/hr  "
"Louisville, KY",38.2542376,-85.759407,87.0,Travel Registered Nurse PCU Progressive Care - 680264
"Ithaca, NY",42.437417499999995,-76.54837235139263,5.0,Travel CT Tech - Computed Tomography - 680112
"Boston, MA",42.3554334,-71.060511,324.0,Mutual Fund Accountant
"Miami, FL",25.7741728,-80.19362,231.0,Front Desk Host  
"Aurora, CO",39.7405111,-104.830994,20.0,Operations Manager
"Sacramento, CA",38.5810606,-121.493895,109.0,Telework Option - Staff Grant Analyst
"Louisville, KY",38.2542376,-85.759407,87.0,Travel Registered Nurse Oncology - 680268
"Canton, OH",40.7985464,-81.3749508,7.0,Travel Registered Nurse Med/Surg - 680308
"Orlando, FL",28.5421109,-81.3790304,171.0,Proposal Coordinator
"Chicago, IL",41.8755616,-87.6244212,534.0,Lead Analyst
"Salt Lake City, UT",40.7596198,-111.886797,117.0,Associate Director of Administration
"Elmhurst, IL",41.8994745,-87.9403418,5.0,Call Taker Dispatcher (Customer Service Rep) Day Shift
"Chattanooga, TN",35.0457219,-85.3094883,38.0,CEO Minded Leader 
"Cleveland, OH",41.4996574,-81.6936772,63.0,Procurement and Logistics Specialist
"St Paul, MN",44.9497487,-93.0931028,31.0,Program Manager
"San Bernardino, CA",34.8253019,-116.0833144,18.0,Staff Attorney
"Sparks, NV",39.5404679,-119.7487235,8.0,Construction Superintendent
"Phoenix, AZ",33.4484367,-112.074141,279.0,Server-over 19 to serve alcohol preferred
"Austin, TX",30.2711286,-97.7436995,347.0,Assistant Community Manager - Ekos City Heights
Los Angeles Metropolitan Area,-11.9862556,-77.0096138,101.0,Store Manager
"Meridian, MS",32.3643098,-88.703656,6.0,Clinical Pharmacist
"Woodbridge, NJ",40.55418,-74.28600076944446,7.0,Outside Sales Representative
"Colorado Springs, CO",38.8339578,-104.825348,37.0,Travel Registered Nurse Oncology - 680175
"Malvern, PA",40.036202,-75.5138959,20.0,Appian Developer
"Minneapolis, MN",44.9772995,-93.2654692,141.0,Part-time Internship – HR (Campus Recruiting)
"Atlanta, GA",33.7489924,-84.3902644,382.0,Sales Account Executive (Atlanta)
"Kenosha, WI",42.5846773,-87.8212263,13.0,Daytime Call Taker (Customer Service Rep)
"Port St Lucie, FL",27.2939333,-80.3503283,6.0,Merchandise and Stocking Associate
"Indianapolis, IN",39.7683331,-86.1583502,112.0,Travel IR Tech - Interventional Radiology Ultrasound Tech - General - 680189
"Clackamas, OR",45.1608821,-122.2305038,5.0,Travel Registered Nurse Med/Surg - 680109
"Orlando, FL",28.5421109,-81.3790304,171.0,Purchaser
"Greenwich, CT",41.0264862,-73.6284598,18.0,Travel MRI Tech - 680148
"Hayward, CA",37.6688205,-122.080796,10.0,"Manager, Study Start Up"
"Beverly Hills, CA",34.0696501,-118.3963062,17.0,Office Manager
"Indianapolis, IN",39.7683331,-86.1583502,112.0,Production Team Partner - Washroom Operator - UniFirst
"Pompano Beach, FL",26.2378597,-80.1247667,11.0,Production Team Partner - Soiled Linen Sorter - UniFirst
"Dallas, TX",32.7762719,-96.7968559,383.0,"Director, Business Intelligence"
"Martinez, CA",38.0138934,-122.1338674,6.0,Instrumentation Technician
"Mechanicsburg, PA",40.2101972,-77.0047276,17.0,(USA) Coach/Ops Mgr Trainee
"Las Cruces, NM",32.3140354,-106.779807,7.0,Travel Registered Nurse Endoscopy - 680035
"St Louis, MO",38.6280278,-90.1910154,133.0,Remote Tier-1 Helpdesk
"Lowell, MA",42.6414437,-71.3085329,10.0,Travel Registered Nurse ER Emergency Room - 680034
"Bridgeport, CT",41.1792695,-73.1887863,10.0,Travel Registered Nurse ER Emergency Room - 680153
"Chicago, IL",41.8755616,-87.6244212,534.0,Azure/Databricks Data Engineer - Empower (remote/US-based)
"Newark, NJ",40.735657,-74.1723667,43.0,Warehouse Associate - Newark
"Garden City, NY",40.7266477,-73.6343052,8.0,Assistant Manager (Full Time)
"Dallas, TX",32.7762719,-96.7968559,383.0,Assistant Store Manager
"Henderson, NV",36.0301134,-114.9826194,16.0,Maintenance Custodian - UniFirst
"Fremont, CA",37.5482697,-121.988571,41.0,RN Care Manager - Bay area California
"Springdale, AR",36.1867442,-94.1288142,7.0,Industrial Maintenance Technician - Line Mechanic - 1st shift
"Dallas, TX",32.7762719,-96.7968559,383.0,Commercial Real Estate Attorney
"Chapel Hill, NC",35.9131542,-79.05578,19.0,Travel Registered Nurse OR Operating Room - 679994
"California, United States",36.7014631,-118.755997,162.0,Controller Consultant
"Memphis, TN",35.1460249,-90.0517638,57.0,Travel Registered Nurse PICU - 680316
"Dallas, TX",32.7762719,-96.7968559,383.0,Estimator - Heavy Civil Construction
"New York, NY",40.7127281,-74.0060152,818.0,"Senior Director, Early Childhood Education"
"Denver, CO",39.7392364,-104.984862,247.0,Customer Service Representative
"Golden, CO",39.7546349,-105.22058,22.0,Undergraduate/Graduate Intern - Heliostat Optical Error Measurement Tool Development
"McKinney, TX",33.1976496,-96.6154471,25.0,Financial Analyst - Budget
"Tallahassee, FL",30.4380832,-84.2809332,39.0,Route Trainee - UniFirst
"Jackson, TN",35.6144446,-88.8177418,13.0,HR Specialist (33149)
"Dallas, TX",32.7762719,-96.7968559,383.0,Assistant Store Manager
"Houston, TX",29.7589382,-95.3676974,444.0,Data Scientist
"Stamford, CT",41.0534302,-73.5387341,39.0,Marketing Manager
"Everett, WA",47.9793437,-122.2127011,22.0,Logistics Specialist
"New York, NY",40.7127281,-74.0060152,818.0,Senior Construction Project Manager (Private Equity/Real Estate)
"Harrisburg, PA",40.2663107,-76.8861122,30.0,Coder - Robotic Equipment
"Bangor, ME",44.8016255,-68.7713289,11.0,Travel Registered Nurse Telemetry - 680196
"Chapel Hill, NC",35.9131542,-79.05578,19.0,Travel Registered Nurse OR Operating Room - 679993
"Dallas, TX",32.7762719,-96.7968559,383.0,Real Estate Buyers Salesperson
"Plano, TX",33.0136764,-96.6925096,104.0,Cloud Data Security Analyst/Manager
"Berkeley Heights, NJ",40.6834349,-74.442653,13.0,Release Manager
"Vienna, VA",38.9013729,-77.2651762,18.0,Recepcionist
"Fayetteville, NC",35.0525759,-78.878292,7.0,Production Team Partner - Garment Sorter & Shipper - UniFirst
"Newton, MA",42.3370414,-71.2092214,10.0,Full - Time Pediatric Palliative Care Social Worker
"Tennessee, United States",35.7730076,-86.2820081,19.0,"Director, Business Intelligence"
"Maryland, United States",39.5162401,-76.9382069,22.0,Telephonic Case Manager
"Savannah, GA",32.0790074,-81.0921335,35.0,Territory Sales Manager
"Elmhurst, IL",41.8994745,-87.9403418,5.0,Senior Software Engineer
"Huntsville, AL",34.729847,-86.5859011,34.0,"Specialist, Chief Engineering"
"Albuquerque, NM",35.0841034,-106.650985,50.0,Travel Registered Nurse Cath Lab - 680082
"New York, New York, United States",40.7127281,-74.0060152,19.0,"Senior Director, Human Resources"
Greater Philadelphia,39.94152725,-75.2365182497955,26.0,Integration Project Manager
"Dallas, TX",32.7762719,-96.7968559,383.0,Support Engineer with Azure Experience
"Worcester, MA",42.2625621,-71.8018877,34.0,Program Coordinator – Emergency Medicine
"Chicago, IL",41.8755616,-87.6244212,534.0,Administrative Assistant
"Golden, CO",39.7546349,-105.22058,22.0,Graduate (Year-Long) Intern – Neurosymbolic Artificial Intelligence for Energy Systems
"Fort Worth, TX",32.753177,-97.3327459,112.0,Assistant Manager (Part Time)
"Utah, United States",39.4225192,-111.714358,13.0,Development Director - The Sims
"Houston, TX",29.7589382,-95.3676974,444.0,Certified Medical Assistant - Care Coordinator
"Houston, TX",29.7589382,-95.3676974,444.0,Registered Nurse Care Manager
"Richmond, VA",37.5385087,-77.43428,116.0,Field Case Manager
"Cherry Hill, NJ",39.9348351,-75.0307264,8.0,Accounts Payable Specialist
"Suwanee, GA",34.0514898,-84.0712997,6.0,Telecommunications Project Manager
"Columbus, IN",39.2014405,-85.9213796,7.0,Outside Sales Specialist -Automotive Parts Manufacturer (31772)
"Dayton, OH",39.7589478,-84.1916069,24.0,Engineering Technician  -Injection Molding(33697)
"Hoffman Estates, IL",42.0427256,-88.0792782,7.0,"Director, Regional Loss Prevention"
"Durham, NC",35.996653,-78.9018053,78.0,Software Engineer in Test
"Baltimore, MD",39.2908816,-76.610759,109.0,Healthcare Facets Lead Developer
"Raleigh, NC",35.7803977,-78.6390989,125.0,Technical Sales - Entry Level ($84k)
"Port Washington, NY",40.8257072,-73.6958069,5.0,Tax Director
"Wichita, KS",37.6922361,-97.3375448,41.0,"Structural Design Engineer, Bids and Proposals - Bombardier Defense"
"Grand Rapids, MI",42.9632425,-85.6678639,47.0,Dispensary Associate-PT (Scribner)
"Golden, CO",39.7546349,-105.22058,22.0,Emergency Management Group Manager
"Austin, TX",30.2711286,-97.7436995,347.0,Production Team Partner - Garment Inspector & Hanger - UniFirst
"Pompano Beach, FL",26.2378597,-80.1247667,11.0,Production Team Partner - Mat Roller & Order Builder - UniFirst
"San Francisco, CA",37.7792588,-122.4193286,289.0,"Executive Assistant, Venture Studio"
"Raleigh, NC",35.7803977,-78.6390989,125.0,Content Creator / Graphic Design
"Hartford, CT",41.764582,-72.6908547,47.0,S2P Process Design and Deployment Manager ( Remote)
"Brooklyn, NY",40.6526006,-73.9497211,76.0,Entertainment Publicity Intern
"Aurora, IL",41.7571701,-88.3147539,12.0,Mechanical Engineer
"San Antonio, TX",29.4246002,-98.4951405,124.0,"SAFETY ENGINEER - SAFETY SCIENTIST - SR. SAFETY SCIENTIST - Health, Safety & Environmental Professional"
"Arlington, VA",38.8903961,-77.0841585,79.0,"Policy Technical Advisor up to $130K - Arlington, VA"
"Brea, CA",33.9170444,-117.888855,18.0,Customer Service Representative
"Tennessee, United States",35.7730076,-86.2820081,19.0,Telephonic Patient Support Nurse - RN & BSN
"Warren, MI",41.8119602,-79.2654452,12.0,Electrical Engineer
"New York, NY",40.7127281,-74.0060152,818.0,"Manager, Data Enablement"
"Round Rock, TX",30.5085915,-97.6788056,17.0,"Sales Associate / Key Sales / Seasonal Opportunities - Banter by Piercing Pagoda - Round Rock Premium Outlets - Round Rock, TX"
"Portland, OR",45.5202471,-122.674194,122.0,Regulatory Project Manager (Research Project Coordinator)
"Portland, OR",45.5202471,-122.674194,122.0,Ophthalmic Technician
"Ohio, United States",40.2253569,-82.6881395,26.0,Telephonic Patient Support Nurse - RN & BSN
"Oklahoma City, OK",35.4729886,-97.5170536,78.0,IT Auditor
"Austin, TX",30.2711286,-97.7436995,347.0,SAP HANA Developer with Datawarehouse/ Data Modelling
"Frederick, MD",39.415779,-77.4127562,21.0,Finance Project Manager
Greater Boston,42.383726949999996,-71.07411377680253,34.0,Business Development Manager
"Natick, MA",42.2836393,-71.346996,9.0,Chief Development Officer
"New York, NY",40.7127281,-74.0060152,818.0,Marketing & Event Planning Specialist - 23426
"Quincy, MA",42.2509914,-71.0037374,9.0,Assistant Restaurant Manager
"Burbank, CA",34.1812089,-118.307201,24.0,Food Service Worker
"Frisco, TX",33.1505998,-96.8238183,36.0,District Manager - Dallas East
"Dallas, TX",32.7762719,-96.7968559,383.0,Commercial Maintenance Manager
"Moline, IL",41.5058344,-90.5136642,11.0,Computer Support Specialist
"Hudson, FL",28.3617709,-82.6932847,7.0,Interim Manager of MedSurg - Ortho/Neuro
"New York, NY",40.7127281,-74.0060152,818.0,Assistant Professor in the Medieval World
"Albany, NY",42.6511674,-73.754968,33.0,Travel Registered Nurse CCU Critical Care - 680104
"New Jersey, United States",40.0757384,-74.4041622,54.0,Fusion Financial Lead
"Worcester, MA",42.2625621,-71.8018877,34.0,Sr Clinical Research Compliance Analyst
"Hayward, CA",37.6688205,-122.080796,10.0,"Senior Director, Study Start Up"
"Rockville, MD",39.0817985,-77.1516844,32.0,Assistant Store Manager
"Columbus, OH",39.9622601,-83.0007065,149.0,Treatment Coordinator - Day Treatment
"Hampton, VA",37.0264414,-76.3442846,16.0,HSC Casting Tech
"San Antonio, TX",29.4246002,-98.4951405,124.0,Digital Marketing Manager
"Orlando, FL",28.5421109,-81.3790304,171.0,"Social Media Specialist, North American Football"
"Littleton, CO",39.613321,-105.016649,15.0,Regional Account Manager
"California, United States",36.7014631,-118.755997,162.0,Auditor (Retail)
"Cary, NC",35.7882893,-78.7812081,27.0,Full Stack Software Developer
"Annapolis Junction, MD",39.11899645,-76.79634174556091,7.0,Administrative Deputy Program Manager
"Columbus, OH",39.9622601,-83.0007065,149.0,Certified Weld Inspector (CWI)
"New York, United States",40.7127281,-74.0060152,167.0,Academic Advisor (History Track)
"Boston, MA",42.3554334,-71.060511,324.0,Project Manager
"Newark, CA",37.5296593,-122.0402399,11.0,Electronics Hardware Design Engineer
"Wilmington, DE",39.7459468,-75.546589,54.0,Java React Developer
"Chicago, IL",41.8755616,-87.6244212,534.0,SailPoint Migration Architect
"Olathe, KS",38.8838856,-94.81887,15.0,Sports-Entertainment Real Estate Sales Agent
"Atlanta, GA",33.7489924,-84.3902644,382.0,Asset Management Analyst
"Austin, TX",30.2711286,-97.7436995,347.0,"Loan Processing Manager - On-site Austin, Texas"
"Grand Rapids, MI",42.9632425,-85.6678639,47.0,District Manager
"Herndon, VA",38.9695316,-77.3859479,36.0,Account Executive
"Brentwood, TN",36.0325687,-86.7825235,17.0,Azure Kubernetes Service (AKS) Admin
"Portland, OR",45.5202471,-122.674194,122.0,HR Generalist
"Jersey City, NJ",40.7215682,-74.047455,70.0,"Manager, Study Start Up"
"Chicago, IL",41.8755616,-87.6244212,534.0,Deal Desk Analyst
"Austin, TX",30.2711286,-97.7436995,347.0,"Adjuster III, Auto Injury Claims"
"Franklin, TN",35.1680139,-86.1084401,17.0,Escrow Closing Assistant
"Abilene, TX",32.44645,-99.7475905,7.0,Warehouse Unloader/Loader - UniFirst
"Austin, TX",30.2711286,-97.7436995,347.0,Senior Player Policy Manager
"Fort Mill, SC",35.0073697,-80.9450759,15.0,Maintenance Mechanic II **$5K SIGN ON BONUS**
"Pleasanton, CA",37.6624312,-121.8746789,22.0,Business Analyst with QA
"Boulder, CO",40.0149856,-105.270545,27.0,DevSecOps Engineer (Secret Clearance Required)
"Redmond, WA",47.6694141,-122.1238767,70.0,Support Engineer - CosmosDB
"Evansville, IN",37.970495,-87.5715641,17.0,Quality Supervisor (33140) 
"Charlotte, NC",35.2272086,-80.8430827,247.0,Carrier Sales Representative
"Chicago, IL",41.8755616,-87.6244212,534.0,Technical Service Representative--Robotics (32568)
"Allentown, PA",40.6022059,-75.4712794,15.0,Dispatcher
"New York, United States",40.7127281,-74.0060152,167.0,LMHC and MHC-LP Clinicians for Remote W2 Positions
"Brunswick, GA",31.1499528,-81.4914894,6.0,"Registered Nurse (RN) $20,000 Sign On Bonus"
"Fishers, IN",39.9555928,-86.0138729,8.0,Quality Supervisor - Night Shift (34024)
Los Angeles Metropolitan Area,-11.9862556,-77.0096138,101.0,Medical Assistant
"Virginia, United States",37.1232245,-78.4927721,36.0,Mortgage Loan Originator NC VA
"Newark, NJ",40.735657,-74.1723667,43.0,Audio Visual Live Events Engineer
"Columbus, OH",39.9622601,-83.0007065,149.0,Field Service Technician
"Colorado, United States",38.7251776,-105.607716,33.0,"Manager, Creators, North American Football"
"Little Rock, AR",34.7465071,-92.2896267,33.0,Store Manager
"Plano, TX",33.0136764,-96.6925096,104.0,data security architect
"New York, NY",40.7127281,-74.0060152,818.0,Registrar
"Dearborn, MI",42.3222599,-83.1763145,15.0,Receptionist/Legal Assistant
"Hampton, VA",37.0264414,-76.3442846,16.0,Senior Software Engineer
"Portland, OR",45.5202471,-122.674194,122.0,Analytical Test Technician (Semiconductor - Cleanroom)
"Lafayette, LA",30.2262187,-92.0178202,8.0,Chief Accounting and Tax Officer
"Augusta, ME",44.3169922,-69.7734278,7.0,Technical Writer 
Las Vegas Metropolitan Area,-11.9547401,-77.0612044,13.0,In Room Dining Sales Member - On Call
"Minnesota, United States",45.9896587,-94.6113288,14.0,Service Desk Specialist
"Huntsville, AL",34.729847,-86.5859011,34.0,Sales Executive Mobility
"Los Angeles, CA",34.0536909,-118.242766,366.0,DTLA Hybrid Legal Assistant
"Burbank, CA",34.1812089,-118.307201,24.0,Food Sales Worker
"Overland Park, KS",38.9742502,-94.6851702,45.0,Entry-Level Real Estate Buyer's Sales Agent
"Baltimore, MD",39.2908816,-76.610759,109.0,Field Support Analyst ll
"New York, United States",40.7127281,-74.0060152,167.0,Academic Advisor (Fine Arts Track)
"Jacksonville, FL",30.3321838,-81.655651,110.0,Operations Manager
"Denver, CO",39.7392364,-104.984862,247.0,Torpedo Technician II (Night Shift)
"Boston, MA",42.3554334,-71.060511,324.0,Senior Payroll Associate - 23420
"Los Angeles County, CA",34.3155072,-118.209681,23.0,Sr. Marketing Analyst
"San Diego, CA",32.7174202,-117.162772,235.0,Senior Software Engineer
"Brooklyn, NY",40.6526006,-73.9497211,76.0,Security Engineer
"Birmingham, AL",33.5206824,-86.8024326,54.0,Marketing Coordinator
"Tacoma, WA",47.2455013,-122.438329,29.0,CDL B Driver
"Milwaukee, WI",43.0386475,-87.9090751,90.0,Store Asset Protection Representative -
"Houston, TX",29.7589382,-95.3676974,444.0,Sup Security Officer II
"New Jersey, United States",40.0757384,-74.4041622,54.0,"Mortgage Reinsurance Actuary opening in CT, NY, or NJ - PR12624"
"Reston, VA",38.9583737,-77.3579805,30.0,Datacenter Manager
"Orlando, FL",28.5421109,-81.3790304,171.0,Assistant Store Manager- TOMMY HILFIGER
"Austin, TX",30.2711286,-97.7436995,347.0,Senior Project Manager
"San Diego, CA",32.7174202,-117.162772,235.0,Senior Data Analyst
"Illinois, United States",40.0796606,-89.4337288,32.0,Creative Production Designer
"Columbus, OH",39.9622601,-83.0007065,149.0,QA Tester
"Tampa, FL",27.9477595,-82.458444,146.0,Staff Accountant
"San Diego, CA",32.7174202,-117.162772,235.0,Associate Attorney
"Farmington, CT",41.7198216,-72.8320435,7.0,Business Analyst
"Foster City, CA",37.5600336,-122.2688522,27.0,Research associate-II
"Sterling Heights, MI",42.5803122,-83.0302033,8.0,System Design Engineer
"Houston, TX",29.7589382,-95.3676974,444.0,Network Engineer
"Sparks, NV",39.5404679,-119.7487235,8.0,Slot Supervisor
"Baton Rouge, LA",30.4494155,-91.1869659,30.0,Sales Associate Oakley
"Lexington, KY",38.0464066,-84.4970393,53.0,Director of Corporate Communications
"Beaverton, OR",45.4871723,-122.80378,27.0,Product Owner
"San Jose, CA",37.3361663,-121.890591,158.0,SAP HANA Developer
"New York, NY",40.7127281,-74.0060152,818.0,"Associate Director, Strategy"
"Fort Myers, FL",26.640628,-81.8723084,37.0,Construction Sales Representative
"Boise, ID",43.6166163,-116.200886,51.0,CAD Designer (A/E - Facility Design)
Detroit Metropolitan Area,42.3672046,-83.15042821099715,13.0,"Senior Sales Coordinator (Remote Detroit, MI Area)"
"San Jose, CA",37.3361663,-121.890591,158.0,Master Data Management Manager
"New York, New York, United States",40.7127281,-74.0060152,19.0,District Manager
"Peoria, AZ",33.5806115,-112.237294,11.0,Administrative Assistant - Vistancia North
"New York, NY",40.7127281,-74.0060152,818.0,"College Readiness Manager, College Success Office"
"Birmingham, AL",33.5206824,-86.8024326,54.0,Toolmaker - 1611996
"Birmingham, AL",33.5206824,-86.8024326,54.0,Process Technician - 1610143
"Springdale, AR",36.1867442,-94.1288142,7.0,Maintenance Electrical Technician
"Buford, GA",34.1206564,-84.0043513,12.0,Registered Nurse (RN)
"Boston, MA",42.3554334,-71.060511,324.0,Site Representative - Clerk of Works
"Southfield, MI",42.4733689,-83.2218731,26.0,Sales Executive Mobility
"New York, United States",40.7127281,-74.0060152,167.0,Academic Advisor (English Track)
"St Louis Park, MN",44.9475726,-93.3569023,10.0,Customer Service Specialist
"New York, NY",40.7127281,-74.0060152,818.0,"Manager, Global Analytics/Data Governance"
"Fishers, IN",39.9555928,-86.0138729,8.0,Mechanical Engineer (31057) 
San Francisco Bay Area,37.7884969,-122.3558473,162.0,Senior Clinical Trial Manager - BAY AREA HYBRID
"Redmond, WA",47.6694141,-122.1238767,70.0,Product Designer - UI/UX
"Golden, CO",39.7546349,-105.22058,22.0,IT Project Manager
"New Braunfels, TX",29.7028266,-98.1257348,6.0,Customer Service Representative
"Charlotte, NC",35.2272086,-80.8430827,247.0,Logistics Account Manager
"Phoenix, AZ",33.4484367,-112.074141,279.0,Junior Treasury Accountant
"Victorville, CA",34.5361067,-117.2911565,5.0,Nurse Practitioner - Urgent Care - Providence Medical Foundation - Victorville Urgent Care - UC
"Tacoma, WA",47.2455013,-122.438329,29.0,Environmental Technician
"Oklahoma, United States",34.9550817,-97.2684063,11.0,Engineering And Maintenance Manager
"Milwaukee, WI",43.0386475,-87.9090751,90.0,Workday Security Administrator
"Houston, TX",29.7589382,-95.3676974,444.0,Security Officer II
"Houston, TX",29.7589382,-95.3676974,444.0,Patient Access Rep - Part Time - Squatty Lyons Health Center
"Lansing, MI",42.7337712,-84.5553805,39.0,.NET Web Developer 
"Greenwich, CT",41.0264862,-73.6284598,18.0,Senior Financial Analyst - 1520658
"Greenwich, CT",41.0264862,-73.6284598,18.0,Compliance Officer - 1386444
"New York, United States",40.7127281,-74.0060152,167.0,Accident & Health Assistant Actuary opening in CT or NY - PR12608
"Concord, NH",43.207178,-71.537476,10.0,Regional Campaign Manager
"Columbus, OH",39.9622601,-83.0007065,149.0,KAM - Key Acct Mgr
"Los Angeles, CA",34.0536909,-118.242766,366.0,Accounts Payable Clerk
"Illinois, United States",40.0796606,-89.4337288,32.0,Telephonic Patient Support Nurse - RN & BSN
Los Angeles Metropolitan Area,-11.9862556,-77.0096138,101.0,"Public Safety Officer I & II, III - Full Time Nights"
"Phoenix, AZ",33.4484367,-112.074141,279.0,Chief Program Officer
"Chicago, IL",41.8755616,-87.6244212,534.0,"Manager, Programmatic (New Client)"
"Brookfield, WI",43.0578479,-88.1261984,5.0,Sales Executive Mobility
"Jefferson City, MO",38.577359,-92.1724265,15.0,Area Vice President
"Miami, FL",25.7741728,-80.19362,231.0,Document Clerk (Medical) 
"Miami, FL",25.7741728,-80.19362,231.0,Director of Revenue Management
"Brooklyn, NY",40.6526006,-73.9497211,76.0,Critical Care Coordinator
"San Antonio, TX",29.4246002,-98.4951405,124.0,Quality Engineering Manager (#32788)
